OG	tree	original_polytomies	resolved_polytomies	inconsistent_triples	prunned_leaves
OG19011	(Capana06g001845[&&NHX:species=Dom. pepper],Capang06g001732[&&NHX:species=Wild pepper],Solyc06g054630.3.1[&&NHX:species=Tomato],SLYcer06g03770.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400053612[&&NHX:species=Potato],SPI06g03678.1[&&NHX:species=S. pimp],Sopen06g019690.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG19073	(Solyc02g085620.3.1[&&NHX:species=Tomato],Capana02g002658[&&NHX:species=Dom. pepper],SPI02g03887.1[&&NHX:species=S. pimp],SLYcer02g04962.1[&&NHX:species=Tomato Cherry],Capang02g002387[&&NHX:species=Wild pepper],PGSC0003DMP400022423[&&NHX:species=Potato],Sopen02g030290.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG19090	(Sopen11g001990.1[&&NHX:species=S. Pennelli],Capana12g002103[&&NHX:species=Dom. pepper],Solyc11g006050.1.1[&&NHX:species=Tomato],Capang12g001794[&&NHX:species=Wild pepper],SPI11g00355.1[&&NHX:species=S. pimp],SLYcer11g00199.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400067196[&&NHX:species=Potato])S;	0	0	0	
OG19118	(Capang10g002111[&&NHX:species=Wild pepper],SLYcer10g05285.1[&&NHX:species=Tomato Cherry],SPI10g03775.1[&&NHX:species=S. pimp],PGSC0003DMP400014331[&&NHX:species=Potato],Capana10g002347[&&NHX:species=Dom. pepper],Sopen10g029820.1[&&NHX:species=S. Pennelli],Solyc10g079170.2.1[&&NHX:species=Tomato])S;	0	0	0	
OG19124	(Sopen11g023650.1[&&NHX:species=S. Pennelli],Solyc11g061750.2.1[&&NHX:species=Tomato],PGSC0003DMP400024044[&&NHX:species=Potato],SPI11g03430.1[&&NHX:species=S. pimp],Capang11g000981[&&NHX:species=Wild pepper],Capana00g000853[&&NHX:species=Dom. pepper],SLYcer11g03363.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG19155	(Capana12g000157[&&NHX:species=Dom. pepper],Sopen12g034050.1[&&NHX:species=S. Pennelli],Capang12g000129[&&NHX:species=Wild pepper],SPI12g05090.1[&&NHX:species=S. pimp],PGSC0003DMP400062422[&&NHX:species=Potato],SLYcer12g05140.1[&&NHX:species=Tomato Cherry],Solyc12g099380.3.1[&&NHX:species=Tomato])S;	0	0	0	
OG19157	(SLYcer11g02667.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400039762[&&NHX:species=Potato],Solyc11g044840.2.1[&&NHX:species=Tomato],Capana00g004123[&&NHX:species=Dom. pepper],Capang00g000644[&&NHX:species=Wild pepper],Sopen11g020320.1[&&NHX:species=S. Pennelli],SPI11g02725.1[&&NHX:species=S. pimp])S;	0	0	0	
OG19246	(SPI11g04147.1[&&NHX:species=S. pimp],Capana11g000404[&&NHX:species=Dom. pepper],Sopen11g029490.1[&&NHX:species=S. Pennelli],SLYcer11g04081.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400005413[&&NHX:species=Potato],Solyc11g071820.3.1[&&NHX:species=Tomato],Capang11g000391[&&NHX:species=Wild pepper])S;	0	0	0	
OG19275	(SPI11g00612.1[&&NHX:species=S. pimp],SLYcer11g00468.1[&&NHX:species=Tomato Cherry],Capana12g002507[&&NHX:species=Dom. pepper],Solyc11g008560.2.1[&&NHX:species=Tomato],Sopen11g004350.1[&&NHX:species=S. Pennelli],Capang12g002162[&&NHX:species=Wild pepper],PGSC0003DMP400028388[&&NHX:species=Potato])S;	0	0	0	
OG19305	(SPI03g04484.1[&&NHX:species=S. pimp],Solyc03g112580.3.1[&&NHX:species=Tomato],Sopen03g031640.1[&&NHX:species=S. Pennelli],SLYcer03g04434.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400031672[&&NHX:species=Potato],Capang03g001133[&&NHX:species=Wild pepper],Capana03g001183[&&NHX:species=Dom. pepper])S;	0	0	0	
